# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "annotations.gtf" "-o" "results/gene_counts.txt" "-T" "4" "results/aligned_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/aligned_Aligned.sortedByCoord.out.bam
ENSG00000279442	22	15298378	15304556	-	6179	0
ENSG00000226444	22;22	11124337;11124508	11124379;11125705	+;+	1241	0
ENSG00000236235	22;22;22;22;22	15290718;15290995;15295332;15295730;15297157	15290836;15291024;15295410;15295832;15297196	+;+;+;+;+	371	0
ENSG00000288262	22;22;22	11474744;11475146;11477178	11474904;11475238;11479643	+;+;+	2720	0
ENSG00000236097	22	15349467	15350043	+	577	0
ENSG00000184624	22;22;22	15326037;15342360;15342945	15327756;15342426;15343065	-;-;-	1908	0
ENSG00000229286	22	15901791	15901911	+	121	0
ENSG00000280341	22	15282557	15288670	-	6114	0
ENSG00000233866	22;22	15914721;15915641	15915146;15915800	-;-	586	0
ENSG00000275772	22;22	22785643;22787176	22786555;22787268	-;-	1006	0
